fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered\
48033,US,TX,Borden County,county,,iso1:us#iso2:us-tx#fips:48033,,654,,other,0,,,,,,,0,4,0,4,4,4,4,30,2,,,,,,0,,,,0,,0,,161,143,6/18/21,https://covidactnow.org/us/texas-tx/county/borden_county,0.246,0.219,0,281\
48035,US,TX,Bosque County,county,,iso1:us#iso2:us-tx#fips:48035,,18685,0.036,other,0.8,,1,1.17,0,,,0,1,0,4,1,0,4,1693,35,,,,25,5,2,0.33,1,,0,,0,,6798,5931,6/18/21,https://covidactnow.org/us/texas-tx/county/bosque_county,0.364,0.317,0,12000\
48037,US,TX,Bowie County,county,,iso1:us#iso2:us-tx#fips:48037,,93245,0.048,other,7.1,,0.91,0.72,0.1,,0.72,1,1,1,4,1,0,1,7156,224,,,,883,349,20,0.51,55,39,5,0.26,7,,24576,20256,6/18/21,https://covidactnow.org/us/texas-tx/county/bowie_county,0.264,0.217,1,42088\
48039,US,TX,Brazoria County,county,,iso1:us#iso2:us-tx#fips:48039,,374264,0.032,other,6.6,,1.03,0.31,0.43,,0.89,1,1,1,4,1,0,3,38514,527,,,,355,106,6,0.43,14,12,3,0.62,26,,168465,146909,6/18/21,https://covidactnow.org/us/texas-tx/county/brazoria_county,0.45,0.393,0,302972\
48041,US,TX,Brazos County,county,,iso1:us#iso2:us-tx#fips:48041,,229211,0.064,other,4.7,,0.91,0.4,0.17,,0.83,1,1,1,4,1,0,2,27848,257,,,,674,326,23,0.64,42,35,4,0.55,8,,98151,83020,6/18/21,https://covidactnow.org/us/texas-tx/county/brazos_county,0.428,0.362,0,175380\
48043,US,TX,Brewster County,county,,iso1:us#iso2:us-tx#fips:48043,,9203,,other,7.8,,1.02,1.21,,,,1,4,1,4,1,4,4,939,16,,,,25,5,1,0.35,2,0,0,0.11,0,,4635,3925,6/18/21,https://covidactnow.org/us/texas-tx/county/brewster_county,0.504,0.426,0,8113\
48045,US,TX,Briscoe County,county,,iso1:us#iso2:us-tx#fips:48045,,1546,,other,9.2,,,,,,,1,4,1,4,4,4,4,168,6,,,,,,0,,,,0,,0,,492,451,6/18/21,https://covidactnow.org/us/texas-tx/county/briscoe_county,0.318,0.292,0,919\
48047,US,TX,Brooks County,county,,iso1:us#iso2:us-tx#fips:48047,,7093,0.034,other,22.2,,1.16,1.03,,,,2,1,2,4,2,4,4,848,36,,,,,,0,,,,0,,1,,3339,2861,6/18/21,https://covidactnow.org/us/texas-tx/county/brooks_county,0.471,0.403,0,6090\
48049,US,TX,Brown County,county,,iso1:us#iso2:us-tx#fips:48049,,37864,0.03,other,5.3,,0.85,0.8,,,0.79,1,0,1,4,0,4,1,4328,138,,,,188,28,1,0.39,8,6,1,0.25,0,,11497,10368,6/18/21,https://covidactnow.org/us/texas-tx/county/brown_county,0.304,0.274,0,18537\
48051,US,TX,Burleson County,county,,iso1:us#iso2:us-tx#fips:48051,,18443,0.048,other,7.7,,1.05,1.02,0.85,,,1,1,1,4,1,3,4,2461,48,,,,25,13,0,0.36,2,0,1,,3,,6839,6063,6/18/21,https://covidactnow.org/us/texas-tx/county/burleson_county,0.371,0.329,0,12084\
