0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Pennsylvania,Northampton County,42095,297735,0.015,2.1,35841,716,1174,575,7,0.64,65,54,1,0.48,2,191752,143367,0.628,0.47,0,0,0,0.0,8,37,0.06,0,0.0,0,7
Pennsylvania,Perry County,42099,45969,0.005,0.3,3847,101,0,0,0,0.0,0,0,0,0.0,0,22204,16330,0.48,0.353,0,0,0,0.0,0,0,0.0,0,0.0,0,0
Pennsylvania,Philadelphia County,42101,1526006,0.013,2.7,154185,3748,9239,4522,108,0.73,668,531,19,0.77,0,699591,554074,0.442,0.35,2,0,2,0.0,13,50,0.07,0,8.2,25,5
Pennsylvania,Somerset County,42111,77742,0.012,5.4,8062,218,185,45,1,0.21,14,3,0,0.03,1,30199,25983,0.411,0.354,0,0,0,0.0,0,0,0.056,0,0.0,0,0
Pennsylvania,Susquehanna County,42115,43356,0.03,2.5,2659,62,50,13,0,0.3,4,0,0,0.02,0,14540,13031,0.361,0.323,0,0,0,0.0,0,0,0.0,0,6.1,14,0
Pennsylvania,Tioga County,42117,41981,0.04,8.1,3121,110,25,21,3,0.65,6,5,2,0.47,0,15221,12551,0.375,0.309,0,0,0,0.0,1,9,0.057,0,6.1,14,0
Pennsylvania,Warren County,42123,41815,0.038,2.6,2643,103,237,34,1,0.7,6,5,0,0.34,1,16480,13126,0.421,0.335,0,0,0,0.0,0,0,0.0,0,0.0,0,47
Pennsylvania,Washington County,42125,207820,0.016,2.9,17905,304,578,247,14,0.41,31,25,5,0.62,3,119018,94552,0.575,0.457,0,0,0,0.0,6,30,0.062,0,7.2,17,8
Pennsylvania,Westmoreland County,42129,365169,0.013,3.6,34379,771,618,282,15,0.67,78,52,3,0.56,3,179194,149530,0.514,0.429,0,0,0,0.0,0,0,0.057,0,7.0,16,0
Pennsylvania,Wyoming County,42131,28276,0.036,2.1,1995,54,44,3,0,0.06,1,0,0,0.0,0,13669,11847,0.51,0.442,0,0,0,0.0,0,0,0.0,0,6.6,17,0
Pennsylvania,York County,42133,434972,0.015,2.8,46946,824,994,707,34,0.71,93,77,13,0.91,3,211886,184246,0.472,0.41,0,0,0,0.0,7,39,0.058,0,9.3,26,6
